,City,Country,Latitude,Longitude,Temperature,Humidity,Cloudiness,Wind Speed
0,Tasiilaq,GL,65.61,-37.64,8.6,55,0,3.67
1,Wukari,NG,7.85,9.78,77.85,50,68,4.61
2,Lüderitz,NA,-26.65,15.16,59.72,88,80,11.03
3,Avarua,CK,-21.21,-159.78,84.2,70,0,14.99
4,Bambous Virieux,MU,-20.34,57.76,75.58,73,75,11.41
5,Neuquén,AR,-38.95,-68.06,80.6,42,0,7.87
6,Loa Janan,ID,-0.58,117.09,86.23,70,83,1.43
7,Ushuaia,AR,-54.8,-68.3,44.6,93,90,6.93
8,Kapaa,US,22.08,-159.32,80.73,69,75,10.29
9,Carnarvon,AU,-24.87,113.63,73.4,83,75,17.22
10,Nueva Gerona,CU,21.88,-82.8,68.79,66,22,12.55
11,Barrow,US,71.29,-156.79,-5.8,70,90,14.99
12,Lebu,CL,-37.62,-73.65,54.28,82,0,12.39
13,Punta Arenas,CL,-53.15,-70.92,50.0,76,100,2.24
14,Puerto Ayora,EC,-0.74,-90.35,71.01,96,17,1.99
15,Rikitea,PF,-23.12,-134.97,77.76,79,36,15.43
16,Albany,US,42.6,-73.97,32.85,73,86,3.29
17,Yellowknife,CA,62.46,-114.35,3.2,84,90,3.36
18,Hong Kong,HK,22.29,114.16,64.62,76,48,7.0
19,Plastun,RU,44.76,136.29,24.55,83,0,4.43
20,Busselton,AU,-33.65,115.33,78.62,45,100,5.99
21,Pisco,PE,-13.7,-76.22,66.11,82,0,16.11
22,Atuona,PF,-9.8,-139.03,79.14,73,0,17.81
23,Northam,GB,51.03,-4.22,47.98,95,100,11.99
24,New Norfolk,AU,-42.78,147.06,56.5,48,87,3.0
25,Faanui,PF,-16.48,-151.75,78.8,79,100,15.64
26,Vaini,TO,-21.2,-175.2,84.2,74,20,14.99
27,Arraial do Cabo,BR,-22.97,-42.03,75.2,94,75,3.36
28,Mazagão,BR,-0.12,-51.29,77.0,100,40,1.12
29,Kamenka,RU,51.32,42.77,14.99,90,0,6.67
30,Bogandé,BF,12.97,-0.14,76.23,19,3,7.83
31,Ribeira Grande,PT,38.52,-28.7,63.25,90,100,16.93
32,Tuktoyaktuk,CA,69.45,-133.04,-20.2,82,75,2.24
33,Saint George,US,37.1,-113.58,53.42,13,1,2.17
34,Omsukchan,RU,62.53,155.8,4.55,91,100,1.72
35,Mataura,NZ,-46.19,168.86,63.0,73,95,14.0
36,Marshall,US,34.38,-86.33,47.95,61,1,5.82
37,Bluff,NZ,-46.6,168.33,63.0,73,37,14.0
38,Aksarka,RU,66.56,67.8,11.23,91,0,7.27
39,Lorengau,PG,-2.02,147.27,87.39,59,68,5.17
40,Hermanus,ZA,-34.42,19.23,57.99,95,0,3.47
41,Narsaq,GL,60.92,-46.05,30.2,30,0,21.92
42,Cidreira,BR,-30.18,-50.21,68.61,84,1,7.16
43,Yerbogachën,RU,61.28,108.01,-17.45,87,100,3.44
44,Bredasdorp,ZA,-34.53,20.04,59.0,87,0,3.36
45,Butaritari,KI,3.07,172.79,82.2,77,31,10.89
46,Burē,ET,10.7,37.07,56.75,54,2,3.83
47,Şile,TR,41.18,29.61,52.0,68,100,1.99
48,Hokitika,NZ,-42.72,170.97,62.24,73,0,14.65
49,Olafsvik,IS,64.89,-23.71,34.38,92,100,33.71
50,Clyde River,CA,70.47,-68.59,10.4,92,90,2.24
51,Sakakah,SA,29.97,40.21,51.8,66,0,3.36
52,San Cristobal,VE,7.77,-72.22,65.64,92,25,0.98
53,Hithadhoo,MV,-0.6,73.08,82.02,69,100,9.19
54,Qaanaaq,GL,77.48,-69.36,3.27,88,100,3.53
55,Voi,KE,-3.39,38.56,70.09,90,100,1.95
56,Castro,BR,-24.79,-50.01,58.39,86,84,3.58
57,Belmonte,BR,-15.86,-38.88,77.0,78,0,8.05
58,Jalu,LY,29.03,21.55,57.67,38,0,11.74
59,Vestmanna,FO,62.16,-7.17,44.6,93,100,16.11
60,Port Hardy,CA,50.7,-127.42,43.5,93,75,0.58
61,Voh,NC,-20.97,164.7,85.89,65,72,6.87
62,Tanabi,BR,-20.63,-49.65,73.4,64,20,2.24
63,Norman Wells,CA,65.28,-126.83,5.0,84,90,14.99
64,Fukuechō,JP,32.69,128.84,53.6,66,0,6.93
65,Hilo,US,19.73,-155.09,76.8,58,1,10.29
66,Pevek,RU,69.7,170.31,-8.12,90,0,2.46
67,Vostok,RU,46.49,135.88,12.92,92,81,3.47
68,Husavik,IS,66.04,-17.34,33.8,100,90,6.93
69,Vila Franca do Campo,PT,37.72,-25.43,60.8,87,40,11.41
70,Cherskiy,RU,68.75,161.3,-4.72,86,100,4.45
71,Innisfail,AU,-17.53,146.03,83.77,68,28,8.3
72,Khatanga,RU,71.97,102.5,-31.9,85,60,1.83
73,Garmsār,IR,35.22,52.34,41.92,67,0,0.74
74,Chui,UY,-33.7,-53.46,63.57,91,0,7.87
75,Saskylakh,RU,71.92,114.08,-17.86,86,100,15.21
76,Hobart,AU,-42.88,147.33,58.89,44,75,20.8
77,Partenit,UA,44.58,34.34,48.45,86,79,4.12
78,Grindavik,IS,63.84,-22.43,35.6,95,90,25.28
79,Lodja,CD,-3.48,23.43,67.91,98,100,1.43
80,Cândido Mendes,BR,-1.45,-45.72,76.32,90,100,3.78
81,Saint-Philippe,RE,-21.36,55.77,70.07,78,0,8.05
82,Leopoldina,BR,-21.53,-42.64,72.0,99,100,1.48
83,Srednekolymsk,RU,67.45,153.68,-23.82,85,87,4.03
84,Kaitangata,NZ,-46.28,169.85,61.0,72,53,11.01
85,Alugan,PH,12.22,125.48,83.28,77,88,7.96
86,Cheyenne,US,41.14,-104.82,51.96,4,1,19.75
87,Longyearbyen,SJ,78.22,15.64,26.6,79,75,11.41
88,Torbay,CA,47.67,-52.73,37.11,93,75,17.22
89,Praia,CV,14.92,-23.51,73.4,69,75,16.11
90,Tuatapere,NZ,-46.13,167.68,63.0,73,85,14.0
91,Jasper,US,37.2,-94.35,50.9,43,1,5.19
92,Richards Bay,ZA,-28.78,32.04,71.08,88,87,5.12
93,Cape Town,ZA,-33.93,18.42,60.78,88,0,9.17
94,Severo-Kuril'sk,RU,50.68,156.12,27.07,87,85,23.02
95,Urucará,BR,-2.54,-57.76,77.63,80,100,1.14
96,Port Hawkesbury,CA,45.62,-61.35,31.71,89,75,6.93
97,Parrita,CR,9.52,-84.32,66.52,82,75,12.75
98,Robertsport,LR,6.75,-11.37,80.26,83,0,6.6
99,Paamiut,GL,61.99,-49.67,27.12,74,0,5.12
100,Sajanan,TN,37.06,9.24,45.45,93,40,10.29
101,Saint Paul Harbor,US,57.79,-152.41,32.0,90,1,9.17
102,George Town,MY,5.41,100.34,77.63,88,20,6.42
103,Jamestown,US,42.1,-79.24,35.19,94,90,8.05
104,Kabwe,ZM,-14.45,28.45,65.59,94,100,5.08
105,Normandin,CA,48.83,-72.53,21.2,92,100,2.24
106,Guerrero Negro,MX,27.98,-114.06,68.11,61,25,7.9
107,Hasaki,JP,35.73,140.83,45.16,93,75,12.75
108,Puerto Palomas,MX,31.77,-107.62,62.6,16,1,3.36
109,Pangnirtung,CA,66.15,-65.71,15.69,92,100,2.39
110,Eenhana,NA,-17.47,16.33,70.18,35,38,4.81
111,Arrecife,ES,28.96,-13.55,66.2,72,40,12.75
112,Luganville,VU,-15.53,167.17,80.6,88,75,6.93
113,Upernavik,GL,72.79,-56.15,23.4,96,100,8.43
114,Marawi,PH,8.0,124.29,82.0,77,0,4.0
115,Tiksi,RU,71.69,128.87,-19.34,87,100,11.27
116,Iroquois,US,40.75,-87.83,41.76,70,0,3.49
117,Lodwar,KE,3.12,35.6,80.83,45,21,7.4
118,Batagay-Alyta,RU,67.8,130.41,-26.77,79,97,2.39
119,Colac,AU,-38.33,143.58,52.34,62,0,1.99
120,Turukhansk,RU,65.82,87.98,-13.95,89,100,6.22
121,Kavieng,PG,-2.57,150.8,83.71,71,100,5.01
122,Airai,TL,-8.93,125.41,74.28,68,100,2.21
123,East London,ZA,-33.02,27.91,69.31,84,99,11.07
124,Bengkulu,ID,-3.8,102.27,77.65,83,59,3.71
125,Okhotsk,RU,59.38,143.3,-7.24,90,58,10.02
126,Leshukonskoye,RU,64.9,45.76,20.88,91,0,8.77
127,Pachperwa,IN,27.52,82.65,59.11,73,0,1.95
128,Mahébourg,MU,-20.41,57.7,77.0,73,75,11.41
129,Byron Bay,AU,-28.65,153.62,80.64,61,40,14.99
130,Hamilton,US,39.18,-84.53,41.47,84,1,3.71
131,Bandarbeyla,SO,9.49,50.81,74.93,79,1,14.76
132,Mareeba,AU,-17.0,145.43,82.17,78,75,6.93
133,Nioro,GM,13.35,-15.75,73.74,25,2,7.05
134,Gboko,NG,7.32,9.0,79.12,70,100,13.71
135,Lompoc,US,34.64,-120.46,59.14,38,90,8.05
136,Hofn,IS,64.25,-15.21,42.04,91,100,14.97
137,Puerto Escondido,MX,15.85,-97.07,80.6,78,40,4.7
138,Fortuna,US,40.6,-124.16,52.39,84,75,5.39
139,Apsheronsk,RU,44.46,39.73,38.25,85,55,2.21
140,Sur,OM,22.57,59.53,70.11,72,0,5.44
141,Carutapera,BR,-1.2,-46.02,78.71,83,100,6.82
142,Lagoa,PT,39.05,-27.98,63.01,91,100,22.91
143,Edson,CA,53.58,-116.44,28.4,63,40,4.07
144,Mount Gambier,AU,-37.83,140.77,62.6,48,40,20.8
145,Burnie,AU,-41.07,145.92,57.99,50,42,15.99
146,Santa Fe,AR,-31.63,-60.7,79.0,60,0,1.01
147,Mount Isa,AU,-20.73,139.5,93.2,9,90,12.75
148,Panalingaan,PH,8.78,117.42,85.37,66,76,3.47
149,Teseney,ER,15.11,36.66,67.69,71,0,9.6
150,Port Alfred,ZA,-33.59,26.89,65.93,82,100,3.27
151,Sayyan,YE,15.17,44.32,42.01,65,0,2.82
152,Zhangaözen,KZ,43.3,52.8,20.34,94,2,7.25
153,Kahului,US,20.89,-156.47,79.74,48,40,10.29
154,Cururupu,BR,-1.83,-44.87,77.52,87,100,4.79
155,Deoli,IN,25.75,75.38,59.74,48,0,3.49
